GEOID,LST,NDVI,NDBI,z_score,cluster_type
04013113100,56.24633229998829,0.13167657657189658,-0.02159758728117203,-0.18544750788302639,0
04013113900,58.80725064204086,0.09810865528064917,0.02019879911010783,1.1361445856140726,0
04013114000,58.87267945610028,0.09351075730581537,0.01683628324218849,1.1699098962559225,0
04013114100,55.90801347239712,0.08302549605166112,-0.007474048923093356,-0.36004092630000245,0
04013114200,59.243800698270825,0.10087067176447963,0.02037261017689739,1.3614313873270913,0
04013114500,58.273634694085,0.12328221314320861,0.02307360640126526,0.8607657864536133,0
04013114600,58.150336672652315,0.09316194483700757,0.01063485994768693,0.7971363892981134,0
04013114900,57.88177457196835,0.13095898976895667,-0.0028837005601042767,0.6585417519570318,0
04013115300,59.21930006196003,0.12856800579830935,0.03366369280736027,1.3487875451934739,0
04013115500,57.92293168734378,0.14665163831444042,0.0246940151610719,0.6797813664258461,0
04013115600,58.865449353397615,0.1346278645847569,0.014166712053479753,1.1661787165419475,0
04013115700,57.92316647268684,0.19865776253843198,-0.016455370824008622,0.6799025301693215,0
04013115900,58.1136525146722,0.18957141933538926,-0.013256591350492508,0.7782050972115935,0
04013116000,58.75753550457971,0.18231008889169664,-0.0158691306213871,1.110488502982744,0
04013116100,58.25811739880114,0.1366488375626154,-0.012260252472699108,0.8527579033349473,0
04013116300,58.28815173119124,0.15228140628250805,0.004970157452631364,0.8682574745506418,0
04013116400,58.18098187460959,0.1794630389968668,-0.01645446713637548,0.8129512069536808,0
04013116500,57.37526363076407,0.20605041755350403,-0.023931010254384034,0.39715081099136623,0
04013116800,56.17276887094161,0.14983600342276027,-0.01025549605067936,-0.22341078246393453,0
04013117200,58.353736494381785,0.10180741457747493,0.009994571479897556,0.9021032645796321,0
04013217700,55.31776019087153,0.1811092769068702,-0.03795168663684131,-0.6646480889788834,0
04013217800,56.04212578363524,0.17440896834248892,-0.03089859328790424,-0.2908306874327756,0
04013218000,58.00213443389382,0.15516584344819523,-0.02480833307915693,0.7206548772695767,0
04013218100,58.220583956961,0.14722283551868098,-0.02845407747914984,0.8333883283027719,0
04013318700,52.8445131858465,0.14304180255903395,-0.019949501418277796,-1.9409963557052095,1
04013318900,57.52438877603014,0.20002902778439585,-0.03362308216754982,0.47410859980055226,0
04013319300,54.978701555071005,0.13960932410224047,-0.0070295800655580274,-0.8396232941417073,0
04013319500,55.8975012670465,0.17450370250087271,-0.03475661251600575,-0.36546587376844264,0
04013319600,55.34413335908398,0.20753346239693393,-0.05336860271679985,-0.6510379046876853,0
04013810000,56.143183862469485,0.15722841429474266,-0.03489723585552512,-0.23867847477600854,0
04013810100,52.14779460949291,0.24996604695681757,-0.06636291535237104,-2.3005461885840885,1
04013810400,56.16270636020285,0.15326453204274856,-0.03220065697227427,-0.22860365972780697,0
04013810600,55.20910107381016,0.2004038502536713,-0.03672301929205298,-0.7207229069988857,0
04013980400,57.59435831092141,0.10699803470497148,0.009000008970998301,0.5102172029447855,0
04013981000,58.54262674760262,0.10566929555366783,0.027723519343674695,0.9995823060219435,0
04013071903,57.34717531195652,0.14068230225965928,-0.009446206148612638,0.3826555030207387,0
04013071911,55.613997817134695,0.12229189887285188,0.03746117964532165,-0.5117711704778606,0
04013071914,58.2337991819289,0.17557255627051788,-0.009126224022436832,0.8402082009026007,0
04013071915,58.79753969368364,0.13623086483273952,-0.005025032678068044,1.1311331362607209,0
04013082007,58.45672458867285,0.15765188893430238,-0.010948392599166896,0.9552514844601273,0
04013082008,58.82208651405144,0.14962337870802878,-0.012593277817768525,1.143800812221283,0
04013082009,59.15063637966463,0.15477835264749293,-0.009611375492115196,1.3133528426721677,0
04013082010,58.60207599860879,0.1581884680138097,-0.007554197804462075,1.030261792674809,0
04013082017,55.95176717095489,0.19089362702258697,-0.022683302733829496,-0.33746131447651434,0
04013082018,57.07134679768133,0.1769922859396592,-0.04021661769391302,0.24031094730367888,0
04013082021,56.02514038627769,0.16371741600479547,0.013489629301309158,-0.2995962019296785,0
04013082024,55.953315837370766,0.1854790982076548,-0.020184028186392245,-0.336662106919959,0
04013082027,56.24702589236206,0.14911104086637975,-0.020806809073233505,-0.18508957136383558,0
04013082028,57.12969587302851,0.14293033084808757,-0.01377033780997274,0.27042267534101017,0
04013082205,55.76336178600143,0.16493711145553802,-0.037069872506173565,-0.4346901339347695,0
04013082207,53.64470182683876,0.3050222838907222,-0.0748171029173909,-1.5280495764674316,1
04013082212,56.66081565962172,0.17454796739979025,-0.03333381733899051,0.02845151497242765,0
04013082213,53.84098374271086,0.2488891346311404,-0.06092983872396074,-1.4267559803955179,0
04013092305,56.96572014538613,0.20097572576162026,-0.021011703443737966,0.1858010684670042,0
04013092306,58.04898800707568,0.1622742317054293,-0.023299220909113974,0.7448342159280671,0
04013092308,58.750248519133855,0.15421882991881852,-0.01640375508367538,1.106727968258725,0
04013092309,58.114258586944416,0.18205123143152319,-0.03449746271582612,0.7785178679508632,0
04013092311,57.654559134885865,0.14824845251605648,-0.01289206877221475,0.541284547680842,0
04013092312,56.568890932554716,0.17405657860569848,-0.017610909392487103,-0.01898732385882452,0
04013092401,58.0221024419006,0.1727511722667323,-0.025234637785128654,0.7309596031451754,0
04013092402,58.23199385469704,0.16670442111998654,-0.02388251921891602,0.839276540506942,0
04013092705,55.87148620191379,0.216691098056906,-0.040091523225642765,-0.378891254744724,0
04013092709,56.315461970317436,0.19398380227198841,-0.018167787107307213,-0.1497723267447493,0
04013092710,55.48496148505793,0.2421878396810744,-0.048069039997467373,-0.5783618904731873,0
04013092711,56.61757632860552,0.2161571376749472,-0.016352602130613222,0.006137348581121902,0
04013092712,56.80296056193479,0.18145327248782714,-0.011861630885552577,0.10180706713630641,0
04013092713,56.691467933749415,0.2000355600800869,-0.030124745184671425,0.04426998230489274,0
04013092715,58.58301519859807,0.16436548672762452,-0.019220122541469348,1.0204252421779638,0
04013092716,59.714023901251146,0.1542923495753355,-0.00785274914537138,1.6040956132936202,2
04013092717,56.84251071221773,0.2218865061789955,-0.05294706912113096,0.12221738832939229,0
04013092718,56.83220791298323,0.18191892366725534,-0.027261898945859248,0.11690050735524438,0
04013092719,56.49513845139558,0.12801772931821667,-0.029345499411515583,-0.057048161010539784,0
04013092721,56.07472272222559,0.21535403646988843,-0.06086337041010769,-0.2740086530844716,0
04013092801,57.071572720960944,0.2000545150090479,-0.032277987120534694,0.2404275376748645,0
04013092802,58.217731344216666,0.1731926450363216,-0.01903088415167432,0.831916203875056,0
